Champion,Primary,Secondary,Attack,Defense,Ability,Difficulty,Q-1,Q-2,Q-3,Q-4,Q-5,W-1,W-2,W-3,W-4,W-5,E-1,E-2,E-3,E-4,E-5,R-1,R-2,R-3,Alt
Barrier,,,0,0,0,0,0,0,0,0,0,210,0,0,0,189,0,0,0,0,0,0,0,0,
Clairvoyance,,,0,0,0,0,0,0,0,0,0,60,0,0,0,54,0,0,0,0,0,0,0,0,
Clarity,,,0,0,0,0,0,0,0,0,0,180,0,0,0,162,0,0,0,0,0,0,0,0,
Cleanse,,,0,0,0,0,0,0,0,0,0,210,0,0,0,189,0,0,0,0,0,0,0,0,
Exhaust,,,0,0,0,0,0,0,0,0,0,210,0,0,0,189,0,0,0,0,0,0,0,0,
Flash,,,0,0,0,0,0,0,0,0,0,300,0,0,0,216,0,0,0,0,0,0,0,0,
Ghost,,,0,0,0,0,0,0,0,0,0,210,0,0,0,151.2,0,0,0,0,0,0,0,0,
Heal,,,0,0,0,0,0,0,0,0,0,240,0,0,0,216,0,0,0,0,0,0,0,0,
Ignite,,,0,0,0,0,0,0,0,0,0,210,0,0,0,189,0,0,0,0,0,0,0,0,
Revive,,,0,0,0,0,0,0,0,0,0,540,0,0,0,486,0,0,0,0,0,0,0,0,
Smite,,,0,0,0,0,0,0,0,0,0,60,0,0,0,54,0,0,0,0,0,0,0,0,
Teleport,,,0,0,0,0,0,0,0,0,0,300,0,0,0,172.8,0,0,0,0,0,0,0,0,
